City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,kangalassy,62.35,129.96,73.4,56,20,13.42,RU,1595292981
351,matay,28.42,30.78,75.96,60,0,15.08,EG,1595292981
352,vanderhoof,54.02,-124.02,79.93,39,100,3.71,CA,1595292981
353,takhtamygda,54.1,123.57,63.59,61,19,7.54,RU,1595292981
354,antsirabe,-19.85,47.03,40.86,90,51,4.14,MG,1595292981
355,iskenderun,36.59,36.17,80.6,69,0,6.93,TR,1595292981
356,maceio,-9.67,-35.74,73.4,83,40,2.24,BR,1595292981
357,tiksi,71.69,128.87,45.95,88,100,9.13,RU,1595292982
358,yarega,63.44,53.58,53.08,78,0,5.84,RU,1595292982
359,ryotsu,38.08,138.43,75.2,100,75,1.12,JP,1595292982
360,sandwick,60.0,-1.25,51.8,81,86,6.93,GB,1595292982
361,nadvoitsy,63.87,34.32,59.32,72,78,2.89,RU,1595292982
362,mananjary,-21.22,48.33,62.55,77,56,4.43,MG,1595292982
363,narsaq,60.92,-46.05,53.6,46,35,5.82,GL,1595292983
364,eustis,28.85,-81.69,86.0,66,1,11.41,US,1595292982
365,nyurba,63.28,118.33,61.03,98,100,4.09,RU,1595292983
366,portel,-1.94,-50.82,77.2,78,37,1.28,BR,1595292983
367,beachwood,41.46,-81.51,80.6,54,40,4.7,US,1595292983
368,lasa,46.62,10.7,57.2,87,5,1.95,IT,1595292983
369,mayo,38.89,-76.51,82.4,83,20,5.82,US,1595292767
370,mokhsogollokh,61.47,128.92,71.15,60,100,12.24,RU,1595292984
371,tsagan aman,47.56,46.72,74.8,51,59,6.33,RU,1595292984
372,ambon,-3.7,128.18,79.0,94,75,4.7,ID,1595292984
373,doha,25.29,51.53,95.0,56,100,1.12,QA,1595292940
374,hit,33.64,42.83,91.13,14,0,15.19,IQ,1595292984
375,novopokrovka,49.84,36.55,60.8,82,0,4.47,UA,1595292984
376,guangyuan,32.44,105.82,64.99,90,100,3.44,CN,1595292879
377,ulladulla,-35.35,150.47,57.2,41,0,12.75,AU,1595292985
378,lashio,22.93,97.75,70.16,98,100,1.12,MM,1595292985
379,oarai,36.32,140.6,69.8,94,75,4.7,JP,1595292985
